iter	Passed	Remaining
0	136	136346
1	137	68675
2	138	46118
3	139	34846
4	141	28077
5	142	23559
6	143	20327
7	144	17910
8	145	16021
9	146	14515
10	147	13284
11	148	12248
12	149	11376
13	150	10624
14	151	9975
15	152	9403
16	153	8902
17	155	8458
18	156	8066
19	157	7712
20	158	7393
21	159	7111
22	161	6840
23	162	6595
24	163	6364
25	164	6151
26	165	5954
27	166	5768
28	167	5595
29	168	5435
30	169	5290
31	170	5152
32	171	5020
33	172	4898
34	173	4782
35	174	4672
36	175	4567
37	176	4467
38	177	4372
39	178	4281
40	179	4194
41	180	4113
42	181	4034
43	182	3959
44	183	3888
45	184	3822
46	185	3758
47	186	3698
48	187	3638
49	188	3582
50	189	3525
51	190	3471
52	191	3418
53	192	3368
54	193	3319
55	194	3272
56	194	3225
57	195	3180
58	196	3135
59	197	3092
60	198	3051
61	199	3012
62	199	2974
63	200	2937
64	201	2900
65	202	2865
66	203	2831
67	203	2792
68	204	2759
69	205	2727
70	206	2696
71	206	2665
72	207	2634
73	208	2604
74	208	2574
75	209	2545
76	210	2517
77	210	2490
78	211	2463
79	211	2437
80	212	2411
81	213	2388
82	214	2364
83	214	2342
84	215	2317
85	216	2295
86	216	2272
87	217	2251
88	218	2231
89	218	2210
90	219	2190
91	219	2170
92	220	2151
93	221	2131
94	221	2113
95	222	2095
96	223	2077
97	223	2060
98	224	2043
99	225	2026
100	225	2009
101	226	1990
102	226	1974
103	227	1958
104	228	1944
105	228	1930
106	229	1915
107	230	1902
108	230	1888
109	231	1875
110	232	1861
111	233	1848
112	233	1834
113	234	1821
114	234	1808
115	235	1794
116	236	1782
117	236	1769
118	237	1757
119	237	1744
120	238	1733
121	239	1721
122	239	1708
123	240	1697
124	240	1686
125	241	1675
126	242	1664
127	242	1653
128	243	1643
129	244	1635
130	245	1625
131	245	1616
132	246	1607
133	247	1598
134	247	1589
135	248	1580
136	249	1570
137	249	1561
138	250	1552
139	251	1543
140	251	1534
141	252	1525
142	253	1517
143	253	1508
144	254	1500
145	255	1492
146	255	1484
147	256	1476
148	257	1468
149	257	1461
150	258	1453
151	259	1446
152	260	1439
153	260	1432
154	261	1425
155	262	1418
156	262	1411
157	263	1404
158	264	1397
159	264	1390
160	265	1383
161	266	1376
162	266	1369
163	267	1363
164	268	1356
165	268	1350
166	269	1343
167	269	1337
168	270	1330
169	271	1324
170	272	1319
171	272	1313
172	273	1307
173	274	1302
174	274	1296
175	275	1291
176	276	1285
177	277	1280
178	277	1274
179	278	1268
180	278	1261
181	279	1256
182	280	1250
183	280	1245
184	281	1239
185	282	1234
186	282	1229
187	283	1223
188	284	1218
189	284	1213
190	285	1208
191	285	1203
192	286	1198
193	287	1193
194	288	1189
195	288	1184
196	289	1180
197	290	1175
198	290	1171
199	291	1166
200	292	1161
201	292	1157
202	293	1152
203	294	1147
204	294	1143
205	295	1138
206	296	1134
207	296	1129
208	297	1125
209	298	1121
210	298	1116
211	299	1112
212	299	1108
213	300	1104
214	301	1100
215	302	1096
216	302	1092
217	303	1088
218	304	1084
219	304	1081
220	305	1077
221	306	1073
222	307	1069
223	307	1065
224	308	1062
225	309	1058
226	309	1054
227	310	1050
228	310	1046
229	311	1043
230	312	1039
231	312	1035
232	313	1032
233	314	1028
234	314	1024
235	315	1021
236	316	1017
237	316	1014
238	317	1011
239	318	1008
240	319	1004
241	319	1001
242	320	998
243	321	995
244	321	992
245	322	988
246	323	985
247	323	982
248	324	978
249	325	975
250	325	972
251	326	968
252	327	965
253	327	962
254	328	959
255	329	956
256	329	953
257	330	950
258	330	946
259	331	944
260	332	941
261	333	938
262	334	935
263	334	933
264	335	930
265	336	927
266	336	924
267	337	921
268	338	919
269	338	916
270	339	913
271	340	910
272	340	907
273	341	904
274	342	901
275	342	899
276	343	896
277	344	893
278	344	890
279	345	888
280	345	885
281	346	882
282	347	880
283	348	878
284	348	875
285	349	872
286	350	870
287	351	868
288	351	865
289	352	863
290	353	860
291	353	858
292	354	855
293	355	853
294	356	850
295	356	848
296	357	845
297	357	843
298	358	840
299	359	838
300	359	835
301	360	833
302	361	831
303	361	828
304	362	826
305	363	824
306	364	822
307	364	819
308	365	817
309	366	815
310	366	812
311	367	810
312	368	808
313	368	805
314	369	803
315	370	801
316	371	799
317	371	797
318	372	795
319	373	792
320	373	790
321	374	788
322	375	786
323	375	784
324	376	781
325	377	779
326	377	777
327	378	775
328	379	773
329	380	771
330	380	769
331	381	767
332	382	765
333	382	763
334	383	761
335	384	759
336	384	757
337	385	755
338	386	753
339	387	751
340	387	749
341	388	747
342	389	745
343	389	743
344	390	741
345	391	739
346	391	737
347	392	735
348	393	733
349	394	731
350	394	729
351	395	728
352	396	726
353	396	724
354	397	722
355	398	720
356	399	718
357	399	717
358	400	715
359	401	713
360	401	711
361	402	709
362	403	707
363	403	705
364	404	704
365	405	702
366	406	700
367	406	698
368	407	696
369	408	695
370	409	693
371	409	691
372	410	690
373	411	688
374	411	686
375	412	684
376	413	683
377	414	681
378	414	679
379	415	677
380	416	676
381	416	674
382	417	672
383	418	670
384	418	669
385	419	667
386	420	665
387	421	664
388	421	662
389	422	660
390	423	659
391	424	657
392	424	656
393	425	654
394	426	652
395	427	651
396	427	649
397	428	648
398	429	646
399	429	644
400	430	643
401	431	641
402	431	639
403	432	638
404	433	636
405	433	634
406	434	633
407	435	631
408	436	630
409	436	628
410	437	627
411	438	625
412	439	624
413	440	623
414	441	621
415	441	620
416	442	618
417	443	617
418	443	615
419	444	614
420	445	612
421	446	611
422	446	609
423	447	608
424	448	606
425	448	604
426	449	603
427	450	601
428	450	600
429	451	598
430	452	597
431	453	595
432	453	594
433	454	592
434	455	591
435	455	589
436	456	588
437	457	586
438	457	585
439	458	583
440	459	582
441	459	580
442	460	579
443	461	577
444	462	576
445	462	574
446	463	573
447	464	571
448	464	570
449	465	568
450	466	567
451	466	566
452	467	564
453	468	563
454	469	561
455	469	560
456	470	559
457	471	557
458	471	556
459	472	554
460	473	553
461	473	551
462	474	550
463	475	548
464	475	547
465	476	545
466	477	544
467	477	542
468	478	541
469	478	540
470	479	538
471	480	537
472	480	535
473	481	534
474	482	533
475	483	531
476	483	530
477	484	529
478	485	527
479	485	526
480	486	524
481	487	523
482	487	522
483	488	520
484	489	519
485	489	517
486	490	516
487	491	515
488	491	513
489	492	512
490	492	511
491	493	509
492	494	508
493	494	506
494	495	505
495	496	504
496	496	502
497	497	501
498	498	500
499	498	498
500	499	497
501	500	496
502	500	494
503	501	493
504	502	492
505	502	490
506	503	489
507	504	488
508	504	486
509	505	485
510	506	484
511	506	482
512	507	481
513	508	480
514	508	479
515	509	477
516	510	476
517	510	475
518	511	474
519	512	472
520	512	471
521	513	470
522	514	468
523	514	467
524	515	466
525	516	465
526	516	463
527	517	462
528	518	461
529	518	460
530	519	458
531	520	457
532	520	456
533	521	454
534	522	453
535	522	452
536	523	451
537	524	449
538	524	448
539	525	447
540	526	446
541	526	445
542	527	443
543	528	442
544	528	441
545	529	440
546	530	438
547	530	437
548	531	436
549	532	435
550	532	434
551	533	432
552	533	431
553	534	430
554	535	429
