iter	Passed	Remaining
0	152	151872
1	152	76326
2	153	51174
3	154	38572
4	155	31008
5	156	25973
6	157	22365
7	158	19657
8	159	17543
9	160	15848
10	160	14463
11	161	13308
12	162	12324
13	163	11503
14	164	10786
15	165	10153
16	166	9602
17	166	9108
18	167	8665
19	168	8267
20	169	7901
21	170	7568
22	171	7264
23	171	6987
24	172	6731
25	173	6496
26	174	6279
27	175	6076
28	175	5889
29	176	5712
30	177	5552
31	178	5401
32	179	5257
33	180	5121
34	181	4995
35	182	4893
36	183	4776
37	184	4667
38	185	4564
39	186	4464
40	186	4371
41	187	4280
42	188	4192
43	189	4110
44	189	4031
45	190	3956
46	191	3888
47	192	3822
48	193	3757
49	194	3693
50	195	3632
51	196	3574
52	196	3517
53	197	3463
54	198	3411
55	199	3362
56	200	3313
57	201	3266
58	201	3220
59	202	3174
60	203	3131
61	204	3088
62	204	3047
63	205	3007
64	206	2971
65	207	2935
66	208	2900
67	209	2869
68	210	2836
69	211	2803
70	211	2773
71	212	2743
72	213	2713
73	214	2684
74	215	2655
75	216	2627
76	216	2601
77	217	2573
78	218	2546
79	219	2521
80	220	2496
81	221	2475
82	221	2449
83	222	2427
84	223	2405
85	224	2384
86	225	2363
87	226	2343
88	227	2324
89	227	2304
90	228	2285
91	229	2265
92	230	2247
93	231	2229
94	232	2212
95	233	2195
96	233	2177
97	234	2160
98	235	2144
99	236	2131
100	237	2116
101	238	2101
102	239	2086
103	240	2072
104	241	2058
105	242	2044
106	243	2030
107	244	2016
108	244	2002
109	245	1989
110	246	1975
111	247	1962
112	248	1949
113	249	1936
114	250	1923
115	250	1911
116	251	1899
117	252	1888
118	253	1877
119	254	1865
120	255	1855
121	256	1843
122	257	1833
123	258	1822
124	258	1812
125	259	1801
126	260	1790
127	261	1779
128	262	1769
129	262	1758
130	263	1749
131	264	1739
132	265	1730
133	266	1722
134	267	1714
135	268	1705
136	269	1696
137	270	1688
138	271	1680
139	272	1671
140	273	1664
141	273	1654
142	274	1645
143	275	1637
144	276	1628
145	277	1620
146	277	1612
147	278	1605
148	279	1597
149	280	1590
150	281	1584
151	283	1578
152	284	1572
153	284	1565
154	285	1558
155	286	1552
156	287	1545
157	288	1538
158	289	1531
159	290	1525
160	291	1517
161	292	1510
162	292	1504
163	293	1498
164	294	1492
165	295	1485
166	296	1480
167	297	1474
168	298	1469
169	299	1463
170	300	1457
171	301	1452
172	302	1446
173	303	1441
174	304	1435
175	305	1429
176	306	1424
177	307	1418
178	308	1412
179	308	1407
180	309	1401
181	310	1396
182	311	1391
183	312	1385
184	313	1380
185	314	1375
186	315	1370
187	316	1365
188	317	1360
189	318	1355
190	318	1350
191	319	1345
192	320	1340
193	321	1335
194	322	1330
195	323	1325
196	323	1320
197	324	1315
198	325	1311
199	326	1307
200	327	1302
201	328	1298
202	329	1294
203	330	1290
204	331	1285
205	332	1281
206	333	1277
207	334	1272
208	335	1268
209	336	1264
210	336	1259
211	337	1255
212	338	1251
213	339	1247
214	340	1242
215	341	1239
216	342	1235
217	343	1231
218	344	1227
219	345	1224
220	346	1220
221	347	1216
222	347	1212
223	348	1208
224	349	1204
225	350	1201
226	351	1197
227	352	1193
228	353	1189
229	354	1185
230	355	1181
231	355	1178
232	356	1175
233	357	1171
234	358	1168
235	359	1164
236	360	1161
237	361	1157
238	362	1154
239	363	1151
240	364	1147
241	365	1143
242	366	1140
243	367	1137
244	367	1133
245	368	1130
246	369	1126
247	370	1123
248	371	1120
249	372	1117
250	373	1114
251	374	1111
252	375	1107
253	376	1104
254	377	1102
255	378	1098
256	378	1095
257	379	1092
258	380	1089
259	381	1086
260	382	1083
261	383	1080
262	384	1076
263	385	1073
264	386	1070
265	387	1068
266	388	1065
267	388	1062
268	389	1059
269	390	1056
270	391	1053
271	392	1050
272	393	1048
273	394	1044
274	395	1042
275	396	1039
276	397	1036
277	397	1033
278	398	1030
279	399	1027
280	400	1024
281	401	1022
282	402	1019
283	403	1017
284	404	1014
285	405	1011
286	406	1009
287	407	1006
288	408	1003
289	408	1001
290	409	998
291	410	995
292	411	993
293	412	990
294	413	987
295	414	985
296	415	982
297	416	980
298	416	977
299	417	974
300	418	972
301	419	970
302	420	967
303	421	965
304	422	962
305	423	960
306	424	957
307	425	955
308	426	953
309	427	950
310	427	948
311	428	945
312	429	943
313	430	940
314	431	938
315	432	936
316	433	934
317	434	932
318	435	929
319	436	927
320	437	925
321	438	923
322	439	920
323	440	918
324	441	916
325	441	913
326	442	911
327	443	908
328	444	906
329	445	904
330	446	902
331	447	900
332	448	898
333	449	896
334	450	893
335	451	892
336	452	889
337	453	887
338	454	885
339	455	883
340	455	881
341	456	878
342	457	876
343	458	874
344	459	872
345	460	870
346	461	868
347	462	866
348	463	864
349	464	862
350	465	860
351	466	858
352	467	856
353	468	854
354	469	852
355	470	850
356	470	848
357	471	846
358	472	844
359	473	842
360	474	840
361	475	838
362	476	836
363	477	834
364	478	832
365	479	830
366	480	828
367	481	826
368	482	824
369	483	822
